7440112,"Hóa học","A00; D07; B00; D12",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật Hóa học","A00; C02; B00; D07",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; A01; A02; D07",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520201,"Kỹ thuật điện","A00; A01; A02; D07",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật Điện tử - Viễn thông","A00; A01; A02; D07",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620109,"Nông học","B00; D08; A02; B03",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7460112,"Toán ứng dụng","A00; A01; D07; D01",18,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"Công tác xã hội","C00; D01; D14",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310608,"Đông phương học","C00; C19; D14; D15",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A01; D01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; A01; D14; D15",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; B00; D01; C04",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310205,"Quản lý nhà nước","C00; D01; D14; A00",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và môi trường","A00; B00; D01; C04",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch lữ hành","A00; A01; D01; D14",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","A00; A01; D01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310403,"Tâm lý học giáo dục","A00; C00; D01; C19",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229030,"Văn học","C00; D14; D15; C19",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học","C00; D01; D15; C19",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; B00; D07; C02",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440122,"Khoa học vật liệu","A00; A01; A02; C01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật điều khiển và tự động hóa","A00; A01; A02; D07",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","D04; D01; D15; A01",16,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"Công nghệ kỹ thuật ô tô","A00; A01",18,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng","B00; B03; C08; D13",19,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ Thông tin","A00; A01; C02; D01",15,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị Kinh doanh","A01; C14; D14; D15",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A09; C14; D10",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính – Ngân hàng","A00; A09; C14; D10",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510103,"Công nghệ Kỹ thuật xây dựng","A00; A09; D10; C04",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620115,"Kinh tế Nông nghiệp","A09; B08; C08; D01",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D14; D15; D66",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A09; C14; D01",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ Sinh học","B00; B08; C08; D13",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720701,"Y tế công cộng","B00; B03; C08; D13",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810203,"Quản trị Khách sạn – Nhà hàng","C00; D01; D14; D15",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị Dịch vụ Du lịch và Lữ hành","C00; D01; D14; D15",14,0,0,30,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,Marketing,"A00; A01; C04; D01",23.5,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; C04; D01",23,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ anh","D01; D14; D15; D66",22.5,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","A00; A01; C00; D01",22.5,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320108,"Quan hệ công chúng","C00; D01; D14; D15",22,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; C04; D01",22,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; C04; D01",22,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật hóa học","A00; B00; D07; C08",22,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720101,"Y khoa","A02; B00; D07; D08",22,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810202,"Quản trị nhà hàng và dịch vụ ăn uống","A00; A01; C00; D01",22,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A00; A01; C04; D01",21,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"C00; D01; D14; D15",21,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","C00; D01; D14; D15",21,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học","A00; B00; D07; D08",21,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520212,"Kỹ thuật y sinh","A00; B00; A01; A02",20.5,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520320,"Kỹ thuật môi trường","A00; A02; B00; C08",20.5,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; A02; D07",20,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; A01; A02; D07",20,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"Công nghệ kỹ thuật ô tô","A00; A01; A02; D07",19,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; A02; B00; D07",19,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc","A00; D01; V00; V01",19,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720601,"Kỹ thuật xét nghiệm y học","A00; B00; D07; D08",19,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720602,"Kỹ thuật hình ảnh y học","A00; B00; D07; D08",19,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; A02; B00; C08",19,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; A01; C00; D01",18.5,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340116,"Bất động sản","A00; B00; C05; C08",17,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520116,"Kỹ thuật cơ khí động lực","A00; A01; A02; D07",17,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720802,"Quản lý bệnh viện","B00; B03; C01; C02",17,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và môi trường","A00; A02; B00; C08",17,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480101,"Khoa học máy tính","A00; A01; A02; D07",16,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01; A02; D07",16,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510601,"Quản lý công nghiệp","A00; A01; D01; D07",16,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và Quản lý chuỗi cung ứng","A00; A01; D01; D07",16,0,0,41,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học","A00; B00; D07; C02",21,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng","A02; B00; D08; B03",19,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720401,"Dinh dưỡng","A00; B00; D07; D08",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440112,"Hoá học chuyên ngành hoá dược","A00; A01; B00; D07",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","C00; D14; D84; D66",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistic và quản lý chuỗi cung ứng","A00; A01; D01; C01",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; C04",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A00; A01; D01; C04",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; C04",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; A01; D01; C04",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,Marketing,"A00; A01; D01; C04",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A00; A01; D01; C04",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học","D01; C00; D14; D15",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810101,"Du lịch","D01; C00; D14; D15",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","D01; C00; D14; D15",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229040,"Văn hoá học","C04; C00; D14; D15",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ anh","D01; D14; D15; D66",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620301,"Nuôi trồng thuỷ sản","A00; A01; B00; D07",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và môi trường","A00; A01; B00; D01",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; A01; B00; D01",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; A02; A01; C01",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510102,"Công nghệ kỹ thuật công trình xây dựng","A00; A02; A01; C01",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A02; A01; C01",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ kỹ thuật điện, điện tử","A00; A02; A01; C01",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7640101,"Thú y","B00; A06; B02; C02",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620105,"Chăn nuôi","A00; B00; A02; D08",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320104,"Truyền thông đa phương tiện","A01; C00; D01; D15",15,0,0,42,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480101,"Khoa học máy tính","A00; A01; C01; D01",23.25,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480109,"Khoa học dữ liệu","A00; A01; C01; D01",20.5,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480104,"Hệ thống thông tin","A00; A01; C01; D01",22.4,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; C01; D01",23.75,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01; C01; D01",23.6,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520118,"Kỹ thuật hệ thống công nghiệp","A00; C01; C02; D01",19.3,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510601,"Quản lý công nghiệp","A00; C01; C02; D01",23.15,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và Quản lý chuỗi cung ứng","A00; C01; C02; D01",23.7,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580302,"Quản lý xây dựng","A00; C01; C02; D01",19.75,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510102,"Công nghệ kỹ thuật công trình xây dựng","A00; A02; C01; D01",19.85,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ kỹ thuật điện, điện tử","A00; A01; A02; C01",21,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510203,"Công nghệ kỹ thuật cơ điện tử","A00; A02; C01; D01",22.5,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510303,"Công nghệ kỹ thuật điều khiển và tự động hóa","A00; A02; C01; D01",21.65,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật hóa học","A00; B00; C02; D07",19.55,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; B00; C02; D01",23.25,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ sinh học","A02; B00; C02; D01",19.95,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; C01; C02; D01",23.4,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510403,"Công nghệ kỹ thuật năng lượng","A00; A01; A02; C01",20.25,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; C01; C02; D01",23.8,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D14; D15; D66",24.5,0,0,43,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; C01; D01; D03",24.5,27.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140204,"Giáo dục Công dân","C00; C19; D14; D15",25,25.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140206,"Giáo dục thể chất","T00; T01; T06",24.25,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; A01; B08; D07",25.5,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140210,"Sư phạm Tin học","A00; A01; D01; D07",23,24,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01; A02; D29",24.5,27.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học","A00; B00; D07; D24",25.75,29,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140213,"Sư phạm Sinh học","B00; B08",23.75,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; D14; D15",26,27.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử","C00; D14; D64",25,26,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140219,"Sư phạm Địa lý","C00; C04; D15; D44",24.75,26,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140231,"Sư phạm tiếng Anh","D01; D14; D15",26.5,28,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140233,"Sư phạm tiếng Pháp","D01; D03; D14; D64",21.75,24.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; D14; D15",26.5,27.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201H,"Ngôn ngữ Anh (học tại Khu Hòa An)","D01; D14; D15",25.25,26,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220203,"Ngôn ngữ Pháp","D01; D03; D14; D64",23.5,24,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229001,"Triết học","C00; C19; D14; D15",24.25,24,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229030,"Văn học","C00; D01; D14; D15",24.75,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A01; C02; D01",25.5,28.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310201,"Chính trị học","C00; C19; D14; D15",25.5,26,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310301,"Xã hội học","A01; C00; C19; D01",25.75,26.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học","C00; D01; D14; D15",25.5,27.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630H,"Việt Nam học (học tại Khu Hòa An)","C00; D01; D14; D15",24.25,24.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320201,"Thông tin - thư viện","A01; D01; D03; D29",22.75,21.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; C02; D01",25.75,28.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101H,"Quản trị kinh doanh (học tại Khu Hòa An)","A00; A01; C02; D01",24.5,26.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,Marketing,"A00; A01; C02; D01",26.25,29,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A00; A01; C02; D01",26.5,29,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340121,"Kinh doanh thương mại","A00; A01; C02; D01",25.75,28.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; C02; D01",25.75,28.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; C02; D01",25.5,28.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340302,"Kiểm toán","A00; A01; C02; D01",25.25,27.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"A00; C00; D01; D03",25.5,27.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101H,"Luật (học tại Khu Hòa An)","A00; C00; D01; D03",24.5,25.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420101,"Sinh học","A02; B00; B03; B08",19,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ sinh học","A00; B00; B08; D07",24.5,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420203,"Sinh học ứng dụng","A00; A01; B00; B08",19,19.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440112,"Hóa học","A00; B00; C02; D07",23.25,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440301,"Khoa học môi trường","A00; A02; B00; D07",19.25,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7460112,"Toán ứng dụng","A00; A01; B00",22.75,22,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480101,"Khoa học máy tính","A00; A01",25,27,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480102,"Mạng máy tính và truyền thống dữ liệu","A00; A01",24,25.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01",25.25,27.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480104,"Hệ thống thông tin","A00; A01",24.25,25.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480106,"Kỹ thuật máy tính","A00; A01",23.75,24.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01",25.75,28.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201H,"Công nghệ thông tin (học tại Khu Hòa An)","A00; A01",23.5,24.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật hóa học","A00; A01; B00; D07",24,26,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510601,"Quản lý công nghiệp","A00; A01; D01",24.75,26.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520103,"Kỹ thuật cơ khí","A00; A01",24.5,26.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520114,"Kỹ thuật cơ điện tử","A00; A01",24.25,25.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520201,"Kỹ thuật điện","A00; A01; D07",23.75,25.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử - viễn thông","A00; A01",23,23.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật điều khiển và Tự động hóa","A00; A01",24.25,26,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520309,"Kỹ thuật vật liệu","A00; A01; B00; D07",21.75,20.75,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520320,"Kỹ thuật môi trường","A00; A01; B00; D07",19,19.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520401,"Vật lý kỹ thuật","A00; A01; A02; C01",18.25,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; A01; B00; D07",25,28,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540104,"Công nghệ sau thu hoạch","A00; A01; B00; D07",22,19.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540105,"Công nghệ chế biến thủy sản","A00; A01; B00; D07",23.5,24.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; A01",23.5,25.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580202,"Kỹ thuật xây dựng công trình thủy","A00; A01",18,19.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"Kỹ thuật xây dựng công trình giao thông","A00; A01",22.25,21.25,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620103,"Khoa học đất","A00; B00; B08; D07",15.5,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620105,"Chăn nuôi","A00; A02; B00; B08",21,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620109,"Nông học","B00; B08; D07",19.5,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620110,"Khoa học cây trồng","A02; B00; B08; D07",19.25,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620112,"Bảo vệ thực vật","B00; B08; D07",21.75,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620113,"Công nghệ rau hoa quả và cảnh quan","A00; B00; B08; D07",15,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620114H,"Kinh doanh nông nghiệp (học tại Khu Hòa An)","A00; A01; C02; D01",18.25,19.5,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620115,"Kinh tế nông nghiệp","A00; A01; C02; D01",24.5,26,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620115H,"Kinh tế nông nghiệp (học tại Khu Hòa An)","A00; A01; C02; D01",22.25,22,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620301,"Nuôi trồng thủy sản","A00; B00; B08; D07",22.25,0,0,44,"2022-04-15 13:45:53","2022-04-15 13:45:53"
